hash,message,hashes_of_parents,is_merge_commit,list_of_modified_files
a06831d52c412147bd1bd590095482df49bcbea9,"[eslint config] [patch] set `react/no-unused-prop-types` to “warn”, pending bugfixes.

Closes #1099.",['0bb3eb541203aee1b134bef06940557cf7a30007'],False,['react.js']
0e2b74a263594d258337a424bddb49f60ec0c368,Add links to mentioned github issues,['70428bdc37723167bb09792fcf013d63e2aecf37'],False,['README.md']
a23a3efba9d1661e52cfa6894d620cee965ac090,"[eslint config] [base] [deps] [breaking] update `eslint`

 - enable `no-useless-return`
 - tighten up `indent`
 - loosen `max-len` with `ignoreRegExpLiterals` option",['05d06346270fae870537a10960166f60ea8a3bf8'],False,"['package.json', 'best-practices.js', 'style.js']"
f9a5dd4919c30d575944ded3d9e33b233041ffe4,"Update JSX quote style rationale.

Based on https://github.com/airbnb/javascript/issues/629#issuecomment-166384924.",['017dfa81fa2ffbb191ddb28240aa6098837b8d1b'],False,['README.md']
788208295469e19b806c06e01095dc8ba1b6cdc9,[eslint config] [base] [breaking] `comma-dangle`: require trailing commas for functions,['c51251d17b8e38f1e8975a5e4eb13d7986229410'],False,"['README.md', 'errors.js']"
3ab19f07f468d3606ac3656f477104d19ff616fc,[guide] Fix inconsistency in function expression rules.,['153c02b36cb2a3c980962ae9fabadf952c3c06e3'],False,['README.md']
436cf3ee6366a4cf3382dbdee6078a90e92508d6,"[eslint config] [base] [breaking] update `eslint`, `eslint-plugin-import`; enable `import/no-named-default`",['3ab19f07f468d3606ac3656f477104d19ff616fc'],False,"['package.json', 'imports.js']"
1399b3cbfa785f760c15ec63112f711b2c68fd28,[eslint config] [base] [breaking] prefer `**` over `Math.pow`,['436cf3ee6366a4cf3382dbdee6078a90e92508d6'],False,['best-practices.js']
2f9dddbe205145512978a9f07b08fe987505d4d7,"[eslint config] [base] [patch] loosen `no-extraneous-dependencies` for test files.

Relates to #959, #1089.",['1399b3cbfa785f760c15ec63112f711b2c68fd28'],False,['imports.js']
c4a9d28485f39005464571db45ecfe8f83dd732d,[Tests] on `node` `v7`,['2f9dddbe205145512978a9f07b08fe987505d4d7'],False,['.travis.yml']
c3044f811e139cf68d16ea026a6603c4c5f90a79,"[eslint config] [breaking] [deps] update `eslint-config-airbnb-base`, `eslint`, `eslint-plugin-import`, `eslint-plugin-react`",['38bd170e2cd8d28c99b69b5566f50362d6548cd7'],False,"['.eslintrc', 'package.json', '.eslintrc']"
3e656750e68acaa166fb53e4783b66b42473db9f,[eslint config] [breaking] re-enable `react/no-unused-prop-types`,['c3044f811e139cf68d16ea026a6603c4c5f90a79'],False,['react.js']
97575b2087a3371d6223f86960f90eee7426f7c8,Fix broken rule reference link `import/first`,['24b8f35f18e6baab92d4da7aa2c10c4fc2374245'],False,['README.md']
a2cb4a2cd6721672a9cd03a7d0c4d529e298e335,"[eslint config] [base] [fix] legacy config should not require `**`

Per https://github.com/airbnb/javascript/commit/1399b3cbfa785f760c15ec63112f711b2c68fd28#commitcomment-19718532",['97575b2087a3371d6223f86960f90eee7426f7c8'],False,['legacy.js']
ec08ca84ba756543df99bee9c268866512634622,"[eslint config] [base] `import/no-extraneous-dependencies`: added ignore patterns for config files

Fixes #1168",['ae1c0f89cbc02610cf647896d6957bca7e7b3cc5'],False,['imports.js']
72eb3e443e49da634a83b56660fbe56698775cbb,[eslint config] [breaking] [deps] update `eslint-plugin-jsx-a11y` to v3,['b73649925a43b05fc35a74de16f09df51d3370fc'],False,"['package.json', 'react-a11y.js']"
25d03b8b67c5a77ab7a886939187460f4175a525,"[eslint config] [*] [breaking] [deps] update `eslint`, `eslint-plugin-import`, `eslint-plugin-react`",['72eb3e443e49da634a83b56660fbe56698775cbb'],False,"['package.json', 'best-practices.js', 'package.json', 'react.js']"
97da1f0f9d6fc5f592349317b296c74766d1d4ab,"[eslint config] [base] [patch] add `import/no-extraneous-dependencies` ignore patterns for test files

Fixes #1174",['25d03b8b67c5a77ab7a886939187460f4175a525'],False,['imports.js']
54aa8f1b3580d397b4ba77faa806e75e77705cb1,"[guide] Fix no-interpolation template string example

The example showed a template string being used with no interpolation as ""good"". While it met the rule being described, it violated another rule for no reason.",['1ab6aaede9b146235d22b643d5f5076f7daa9b2e'],False,['README.md']
664877a60149dbeb5065f5487d7ffcefc0158850,"Avoid i++ in array spreads example

This style guide recommends using `i += 1` over `i++`. Even though this
appears in a ""bad"" example, the example will be clearest if it is ""bad""
in fewer ways.",['54aa8f1b3580d397b4ba77faa806e75e77705cb1'],False,['README.md']
4d68ddc4bb774584b50ca893887ef9219a41128a,"Change ""modified"" to ""increasedByOne"" to minimize ambiguity",['1df98256d0ea57049f118d4e8f83a493211bc9dd'],False,['README.md']
e037d29b93e5b61434deb9ba485f76c6406b7cb3,[eslint config] [base] [deps] [breaking] update `eslint`; enable `no-await-in-loop`,['898a70e7fe90dd6239a09a445b5cf750d041c3fb'],False,"['package.json', 'errors.js']"
e1a307ae0a1eab781d310ead825b7e8f6c85d022,"[eslint config] [breaking] enable `react/no-array-index-key`, `react/require-default-props`",['6c4456d354ad4c49923806c52f5f8412e6ca2952'],False,['react.js']
